archivo,categoria,origen,bloque,uso_atlas,estado,ancho,alto,hash_sha256,nota_pdf
gvo_atlas_006b_001_carga_actual.png,captura_actual,Playwright runtime,Carga inicial,Carga inicial actual,aprobado,780,1688,2420ad5c304bbf935e2e28b31aff9f8124e3ea193b5dab33d281bd45559992b2,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_002_portada_inicio_actual.png,captura_actual,Playwright runtime,Portada,Portada estado inicial actual,aprobado,780,1688,9c0bc2dc731cae51eb2cf837128466903bd8270e861d3c0847bdaf1da3534287,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_003_portada_dialogo_01_actual.png,captura_actual,Playwright runtime,Portada,Portada primer diálogo de Lía actual,aprobado,780,1688,5c0911e04b3c9fe626335bb9242358282c52da7e3ea5d78938545ff4d1d691af,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_004_portada_dialogo_05_actual.png,captura_actual,Playwright runtime,Portada,Portada último diálogo introductorio actual,aprobado,780,1688,6f53e76d7fbf9cc16d23252a76a17d4300dcc603d776f7b5491ae3d8fc7ba823,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,captura_actual,Playwright runtime,Portada,Portada portal bloqueado actual,aprobado,780,1688,c3d019ae0ddfb92505f5801bb0fac8ca2440d5794e9b90f5e9436309364baa8f,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_006_transicion_mundo_i_actual.png,captura_actual,Playwright runtime,Transición entre mundos,Transición hacia Mundo I actual,aprobado,780,1688,c3cf6fb8c157e40d4fa27fb21fc6b54dbca11e70f3b124a5e1290b4127fa511f,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_007_mundo_i_intro_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I estado inicial actual,aprobado,780,1688,8001210f4fd8a13362ff81ac1d5365213ed53bfc064fd45e7648c68510dca03e,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_008_mundo_i_relacion_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I RELACIÓN activa actual,aprobado,780,1688,1420b6b932bdc20103c021f4afa56cb887363cf181a44013d34baedd13de8725,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_009_mundo_i_percepcion_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I PERCEPCIÓN activa actual,aprobado,780,1688,5d705c8fc4b862a2e847029544c7819986187ee6d3b01fcbd02bc1e58f02fe09,Usar para mostrar estado realmente implementado.
gvo_atlas_006b_010_mundo_i_mediacion_actual.png,captura_actual,Playwright runtime,Estación I — Mundo Raíz,Mundo I MEDIACIÓN activa actual,aprobado,780,1688,65770f468545f9eefac9e2ef5225073dfa93a7dc05546b9262c7f3dffa5daa23,Usar para mostrar estado realmente implementado.
