filename,asset_id,asset_kind,screen,station,visual_group,width_px,height_px,source,status,notes
gvo_atlas_006b_001_carga_actual.png,GVO_ATLAS_006B_001,captura_actual,carga,carga_inicial,carga_inicial,780,1688,Playwright runtime,aprobado,Carga inicial actual.
gvo_atlas_006b_002_portada_inicio_actual.png,GVO_ATLAS_006B_002,captura_actual,portada,archivo_vivo,portada_inicio,780,1688,Playwright runtime,aprobado,Portada estado inicial actual.
gvo_atlas_006b_003_portada_dialogo_01_actual.png,GVO_ATLAS_006B_003,captura_actual,portada,archivo_vivo,portada_dialogo_01,780,1688,Playwright runtime,aprobado,Portada primer diálogo de Lía actual.
gvo_atlas_006b_004_portada_dialogo_05_actual.png,GVO_ATLAS_006B_004,captura_actual,portada,archivo_vivo,portada_dialogo_05,780,1688,Playwright runtime,aprobado,Portada último diálogo introductorio actual.
gvo_atlas_006b_005_portada_portal_bloqueado_actual.png,GVO_ATLAS_006B_005,captura_actual,portada,archivo_vivo,portada_portal_bloqueado,780,1688,Playwright runtime,aprobado,Portada portal bloqueado actual.
gvo_atlas_006b_006_transicion_mundo_i_actual.png,GVO_ATLAS_006B_006,captura_actual,transicion,entre_mundos,transicion_mundo_i,780,1688,Playwright runtime,aprobado,Transición hacia Mundo I actual.
gvo_atlas_006b_007_mundo_i_intro_actual.png,GVO_ATLAS_006B_007,captura_actual,estacion_i,mundo_i_raiz,w1_intro,780,1688,Playwright runtime,aprobado,Mundo I estado inicial actual.
gvo_atlas_006b_008_mundo_i_relacion_actual.png,GVO_ATLAS_006B_008,captura_actual,estacion_i,mundo_i_raiz,w1_relacion,780,1688,Playwright runtime,aprobado,Mundo I RELACIÓN activa actual.
gvo_atlas_006b_009_mundo_i_percepcion_actual.png,GVO_ATLAS_006B_009,captura_actual,estacion_i,mundo_i_raiz,w1_percepcion,780,1688,Playwright runtime,aprobado,Mundo I PERCEPCIÓN activa actual.
gvo_atlas_006b_010_mundo_i_mediacion_actual.png,GVO_ATLAS_006B_010,captura_actual,estacion_i,mundo_i_raiz,w1_mediacion,780,1688,Playwright runtime,aprobado,Mundo I MEDIACIÓN activa actual.
gvo_atlas_006b_011_mundo_i_listo_actual.png,GVO_ATLAS_006B_011,captura_actual,estacion_i,mundo_i_raiz,w1_listo,780,1688,Playwright runtime,aprobado,Mundo I listo/cierre actual.
gvo_atlas_006b_012_mundo_i_bloqueo_actual.png,GVO_ATLAS_006B_012,captura_actual,estacion_i,mundo_i_raiz,w1_bloqueo_actual,780,1688,Playwright runtime,aprobado,Mundo I bloqueo visual actual.
gvo_atlas_006b_101_mundo_i_bloqueo_suave_mockup.png,GVO_ATLAS_006B_101,mockup_aprobado,estacion_i,mundo_i_raiz,w1_bloqueo_suave,941,1672,ChatGPT Images,aprobado,Mockup aprobado de bloqueo suave Mundo I.
gvo_atlas_006b_102_mundo_i_cierre_esperado_mockup.png,GVO_ATLAS_006B_102,mockup_aprobado,estacion_i,mundo_i_raiz,w1_cierre_esperado,941,1672,ChatGPT Images,aprobado,Mockup aprobado de cierre esperado Mundo I.
gvo_atlas_006b_103_transicion_generica_entre_mundos_mockup.png,GVO_ATLAS_006B_103,mockup_aprobado,transicion,entre_mundos,transicion_generica,941,1672,ChatGPT Images,aprobado,Mockup aprobado de transición genérica entre mundos.
gvo_atlas_006b_104_mundo_ii_intro_conceptual_mockup.png,GVO_ATLAS_006B_104,mockup_aprobado,estacion_ii,mundo_ii_pulso_invisible,w2_intro,941,1672,ChatGPT Images,aprobado,Mockup aprobado de intro conceptual Mundo II.
gvo_atlas_006b_105_mundo_ii_capa_senal_mockup.png,GVO_ATLAS_006B_105,mockup_aprobado,estacion_ii,mundo_ii_pulso_invisible,w2_senal,941,1672,ChatGPT Images,aprobado,Mockup aprobado de capa SEÑAL Mundo II.
gvo_atlas_006c_201_ref_carga_inicial.png,GVO_ATLAS_006C_201,referencia_base,carga,carga_inicial,ref_carga_inicial,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de carga inicial.
gvo_atlas_006c_202_ref_portada_archivo_vivo.png,GVO_ATLAS_006C_202,referencia_base,portada,archivo_vivo,ref_portada_archivo_vivo,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de portada Archivo Vivo.
gvo_atlas_006c_203_ref_transicion_entre_mundos.png,GVO_ATLAS_006C_203,referencia_base,transicion,entre_mundos,ref_transicion_entre_mundos,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de transición entre mundos.
gvo_atlas_006c_204_ref_estacion_i_mundo_raiz.png,GVO_ATLAS_006C_204,referencia_base,estacion_i,mundo_i_raiz,ref_w1_mundo_raiz,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de Mundo I.
gvo_atlas_006c_205_ref_estacion_ii_pulso_invisible.png,GVO_ATLAS_006C_205,referencia_base,estacion_ii,mundo_ii_pulso_invisible,ref_w2_pulso_invisible,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de Mundo II.
gvo_atlas_006c_206_ref_estacion_iii_cuaderno_pixel.png,GVO_ATLAS_006C_206,referencia_base,estacion_iii,mundo_iii_cuaderno_pixel,ref_w3_cuaderno_pixel,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de Mundo III.
gvo_atlas_006c_207_ref_estacion_iv_mesa_sistema.png,GVO_ATLAS_006C_207,referencia_base,estacion_iv,mundo_iv_mesa_sistema,ref_w4_mesa_sistema,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de Mundo IV.
gvo_atlas_006c_208_ref_estacion_v_mapa_presente.png,GVO_ATLAS_006C_208,referencia_base,estacion_v,mundo_v_mapa_presente,ref_w5_mapa_presente,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de Mundo V.
gvo_atlas_006c_209_ref_pantalla_final_mirador.png,GVO_ATLAS_006C_209,referencia_base,final,mirador,ref_final_mirador,941,1672,docs/narrative/visual_refs,aprobado,Referencia base de pantalla final.
gvo_atlas_006d_201_mundo_ii_planta_viva_mockup.png,GVO_ATLAS_006D_201,mockup_aprobado,estacion_ii,mundo_ii_pulso_invisible,w2_planta_viva,941,1672,ChatGPT Images,aprobado,Mockup aprobado de planta viva Mundo II.
